"TaskName","TaskPath","TaskState","Execute","Arguments"
"Adobe Acrobat Update Task","\","Ready",,
"IPVanish","\","Disabled",,
"Norton Private Browser Heartbeat Task (Hourly) S-1-5-21-4079314047-1345717720-2982770376-1002","\","Ready",,
"NortonBrowserProtectS-1-5-21-4079314047-1345717720-2982770376-1002","\","Ready",,
"NortonUpdateTaskUserS-1-5-21-4079314047-1345717720-2982770376-1002Core","\","Ready",,
"NortonUpdateTaskUserS-1-5-21-4079314047-1345717720-2982770376-1002UA","\","Ready",,
"OneDrive Per-Machine Standalone Update Task","\","Ready",,
"OneDrive Reporting Task-S-1-5-21-4079314047-1345717720-2982770376-1002","\","Ready",,
"OneDrive Startup Task-S-1-5-21-4079314047-1345717720-2982770376-1002","\","Ready",,
"RtkAudUService64_BG","\","Running",,
"ZoomUpdateTaskUser-S-1-5-21-4079314047-1345717720-2982770376-1002","\","Ready",,
"Printer Health Monitor","\HP\HP Print Scan Doctor\","Ready",,
"Printer Health Monitor Logon","\HP\HP Print Scan Doctor\","Ready",,
"SoftLandingCreativeManagementTask","\SoftLanding\S-1-5-21-4079314047-1345717720-2982770376-1002\","Ready",,
"SoftLandingDeferralTask-{eb555967-f056-47fd-b894-46073f39f9e5}","\SoftLanding\S-1-5-21-4079314047-1345717720-2982770376-1002\","Ready",,
"SoftLandingTriggerTask-128000000001615609-render-{7e29b2c4-600b-42b5-9da3-f3a7f73f2523}","\SoftLanding\S-1-5-21-4079314047-1345717720-2982770376-1002\","Disabled",,
